,req_t,depart_t,travel_t,arr_t,parking_t,lea_t,charge_label,char_t,req_interval,depart_interval,lea_interval,arr_interval,dest,waiting_time,time_label
0,2022-02-16 22:53:44,2022-02-16 23:08:44,66,2022-02-17 00:14:44,1398.3333333333333,2022-02-18 23:33:04,0,,0,1,194,5,2,15.0,3.0
1,2022-02-16 23:04:38,2022-02-16 23:19:38,104,2022-02-17 01:03:38,169.73333333333332,2022-02-18 03:53:22,0,,0,1,115,8,2,4.1,1.0
2,2022-02-16 23:22:00,2022-02-16 23:37:00,52,2022-02-17 00:29:00,,2022-02-17 01:00:00,1,31.0,1,2,8,6,3,1.7333333333333334,
3,2022-02-16 23:24:00,2022-02-16 23:39:00,52,2022-02-17 00:31:00,,2022-02-17 01:07:00,1,36.0,2,3,8,6,3,14.733333333333333,
4,2022-02-16 23:29:11,2022-02-16 23:44:11,17,2022-02-17 00:01:11,470.7,2022-02-17 07:51:53,0,,2,3,35,4,2,9.55,2.0
5,2022-02-16 23:29:14,2022-02-16 23:44:14,30,2022-02-17 00:14:14,903.1833333333332,2022-02-17 15:17:25,0,,2,3,65,5,3,9.5,3.0
6,2022-02-16 23:35:17,2022-02-16 23:50:17,12,2022-02-17 00:02:17,1204.2666666666669,2022-02-17 20:06:33,0,,2,3,84,4,1,3.45,3.0
7,2022-02-16 23:36:00,2022-02-16 23:51:00,18,2022-02-17 00:09:00,,2022-02-17 00:40:00,1,31.0,2,3,7,5,1,2.7333333333333334,
8,2022-02-16 23:40:00,2022-02-16 23:55:00,23,2022-02-17 00:18:00,,2022-02-17 00:55:00,1,37.0,3,4,8,5,3,13.733333333333333,
9,2022-02-16 23:40:00,2022-02-16 23:55:00,18,2022-02-17 00:13:00,,2022-02-17 00:42:00,1,29.0,3,4,7,5,3,13.733333333333333,
10,2022-02-16 23:45:42,2022-02-17 00:00:42,56,2022-02-17 00:56:42,1151.6833333333334,2022-02-17 20:08:23,0,,3,4,84,8,3,8.033333333333333,3.0
11,2022-02-16 23:46:30,2022-02-17 00:01:30,32,2022-02-17 00:33:30,42.66666666666666,2022-02-18 01:16:10,0,,3,4,105,6,1,7.233333333333333,0.0
12,2022-02-16 23:46:39,2022-02-17 00:01:39,40,2022-02-17 00:41:39,4.45,2022-02-17 00:46:06,0,,3,4,7,7,2,7.083333333333333,0.0
13,2022-02-16 23:47:39,2022-02-17 00:02:39,1,2022-02-17 00:03:39,908.9333333333332,2022-02-17 15:12:35,0,,3,4,65,4,3,6.083333333333333,3.0
14,2022-02-16 23:51:32,2022-02-17 00:06:32,50,2022-02-17 00:56:32,1361.4333333333334,2022-02-18 23:37:58,0,,3,4,194,8,2,2.2,3.0
15,2022-02-16 23:53:00,2022-02-17 00:08:00,80,2022-02-17 01:28:00,,2022-02-17 02:04:00,1,36.0,3,4,12,10,2,0.7333333333333333,
16,2022-02-16 23:53:00,2022-02-17 00:08:00,18,2022-02-17 00:26:00,,2022-02-17 00:59:00,1,33.0,3,4,8,6,1,0.7333333333333333,
17,2022-02-16 23:56:00,2022-02-17 00:11:00,18,2022-02-17 00:29:00,,2022-02-17 01:09:00,1,40.0,4,5,9,6,3,12.733333333333333,
18,2022-02-16 23:56:47,2022-02-17 00:11:47,14,2022-02-17 00:25:47,7.616666666666666,2022-02-17 00:33:24,0,,4,5,6,6,2,11.95,0.0
19,2022-02-16 23:59:00,2022-02-17 00:14:00,18,2022-02-17 00:32:00,,2022-02-17 01:07:00,1,35.0,4,5,8,6,1,9.733333333333333,
20,2022-02-17 00:00:37,2022-02-17 00:15:37,29,2022-02-17 00:44:37,534.7166666666667,2022-02-18 09:39:20,0,,4,5,139,7,2,8.116666666666667,2.0
21,2022-02-17 00:02:56,2022-02-17 00:17:56,38,2022-02-17 00:55:56,84.7,2022-02-18 02:20:38,0,,4,5,109,8,3,5.8,1.0
22,2022-02-17 00:03:08,2022-02-17 00:18:08,37,2022-02-17 00:55:08,688.6666666666666,2022-02-17 12:23:48,0,,4,5,54,8,3,5.6,3.0
23,2022-02-17 00:07:54,2022-02-17 00:22:54,18,2022-02-17 00:40:54,140.86666666666667,2022-02-17 03:01:46,0,,4,5,16,7,3,0.8333333333333334,1.0
24,2022-02-17 00:13:03,2022-02-17 00:28:03,37,2022-02-17 01:05:03,515.4,2022-02-17 09:40:27,0,,5,6,43,8,2,10.683333333333334,2.0
25,2022-02-17 00:15:50,2022-02-17 00:30:50,30,2022-02-17 01:00:50,605.6333333333333,2022-02-17 11:06:28,0,,5,6,48,8,1,7.9,3.0
26,2022-02-17 00:18:06,2022-02-17 00:33:06,44,2022-02-17 01:17:06,930.3166666666668,2022-02-18 16:47:25,0,,5,6,167,9,2,5.633333333333334,3.0
27,2022-02-17 00:19:00,2022-02-17 00:34:00,47,2022-02-17 01:21:00,,2022-02-17 02:02:00,1,41.0,5,6,12,9,3,4.733333333333333,
28,2022-02-17 00:20:16,2022-02-17 00:35:16,15,2022-02-17 00:50:16,725.3,2022-02-17 12:55:34,0,,5,6,56,7,1,3.466666666666667,3.0
29,2022-02-17 00:38:12,2022-02-17 00:53:12,1,2022-02-17 00:54:12,35.65,2022-02-17 01:29:51,0,,6,7,10,8,1,0.5333333333333333,0.0
30,2022-02-17 00:38:48,2022-02-17 00:53:48,9,2022-02-17 01:02:48,755.6333333333333,2022-02-17 13:38:26,0,,7,8,58,8,2,14.933333333333334,3.0
31,2022-02-17 00:40:00,2022-02-17 00:55:00,18,2022-02-17 01:13:00,,2022-02-17 01:46:00,1,33.0,7,8,11,9,1,13.733333333333333,
32,2022-02-17 00:42:23,2022-02-17 00:57:23,4,2022-02-17 01:01:23,1265.25,2022-02-18 22:06:38,0,,7,8,188,8,1,11.35,3.0
33,2022-02-17 01:00:00,2022-02-17 01:15:00,18,2022-02-17 01:33:00,,2022-02-17 02:09:00,1,36.0,8,9,13,10,3,8.733333333333333,
34,2022-02-17 01:09:20,2022-02-17 01:24:20,7,2022-02-17 01:31:20,3.866666666666666,2022-02-17 01:35:12,0,,9,10,10,10,1,14.4,0.0
35,2022-02-17 01:12:00,2022-02-17 01:27:00,23,2022-02-17 01:50:00,,2022-02-17 02:26:00,1,36.0,9,10,14,11,1,11.733333333333333,
